Bag ID,Date,Mass
12,346,2.451
42,346,3.938
3,346,4.517
8,346,6.635
47,346,4.864
31,346,3.177
29,346,4.645
28,346,1.659
56,346,3.281
55,346,2.099
54,346,3.441
53,346,2.652
41,346,3.147
2,347,3.205
2p,347,0.189
9,347,2.737
7,347,1.571
1p,347,0.218
46,347,2.859
20,347,5.105
19,347,2.95
23,347,3.34
22,347,2.666
6,347,1.025
35,347,2.744
40,347,3.282
59,347,4.382
58,347,2.961
57,347,3.332
39,347,3.345
38,347,2.811
33,347,2.749
30,347,4.776
32,347,3.644
44,347,5.706
43,347,2.414
5,347,3.754
4,347,2.438
1,347,2.626
45,347,2.839
52,347,3.071
159,347,2.464
128,347,1.318
34p,347,0.068
30p,347,0.076
129,347,1.951
171,347,1.98
130,347,1.92
162,347,2.647
133,347,2.725
131,347,1.894
161,347,5.862
117,347,1.879
168,347,4.639
132,347,2.782
157,347,1.352
119,347,1.62
35p,347,0.136
167,347,2.557
265,347,2.07
286,347,2.061
266,347,3.966
264,347,2.028
276,347,3.561
279,347,3.906
164,347,4.385
280,347,4.349
31p,347,0.143
127,347,2.01
140,347,3.5
37p,347,0.092
141,347,1.945
36p,347,0.247
143,347,5.58
144,347,5.861
184,347,1.049
146,347,3.144
187,347,3.99
186,347,1.197
166,347,6.599
14,347,0.763
15,347,2.451
16,347,2.4
3p,347,0.036
21,347,0.971
4p,347,0.242
7p,347,0.93
9p,347,0.134
37,347,1.364
8p,347,0.219
5p,347,0.944
36,347,0.655
26,347,1.598
6p,347,0.183
34,347,0.65
27,347,3.551
24,347,2.419
48,347,4.399
49,347,5.452
50,347,4.002
94,347,4.916
95,347,4.371
51,347,2.876
11,347,3.216
10,347,4.496
76,348,2.485
77,348,2.062
78,348,3.688
79,348,2.808
80,348,1.468
60,348,3.481
61,348,3.533
11p,348,0.085
10p,348,0.163
62,348,2.002
17p,348,0.072
63,348,5.105
15p,348,0.252
82,348,4.237
81,348,3.736
83,348,2.506
18,348,6.509
13,348,4.47
17,348,2.755
72,348,1.854
74,348,3.215
75,348,3.005
89,348,2.33
87,348,3.461
86,348,3.46
85,348,1.559
93,348,4.413
92,348,3.763
90,348,2.665
91,348,2.946
71,348,2.257
68,348,5.445
69,348,2.749
16p,348,0.018
64,348,1.134
12p,348,0.104
13p,348,0.124
14p,348,0.376
65,348,6.476
172,373,2.735
96,373,4.229
177,373,3.876
181,373,2.543
183,373,4.089
173,373,3.261
163,373,3.37
281,373,1.944
39p,373,0.329
190,373,1.707
236,373,2.528
194,373,5.6
220,373,1.008
282,373,2.754
224,373,1.727
227,373,2.177
45p,373,0.237
237,373,1.474
219,373,2.948
273,373,1.388
46p,373,0.2
232,373,1.085
231,373,4.232
228,373,1.734
230,373,1.455
253,373,1.328
210,373,1.883
216,373,2.528
214,373,2.154
267,373,2.564
274,373,3.274
241,373,4.137
263,373,3.168
243,373,5.244
242,373,3.792
47p,373,0.273
269,373,3.151
189,375,3.059
238,375,2.957
49p,375,0.405
226,375,5.521
240,375,2.939
48p,375,0.332
206,375,1.876
239,375,4.06
38p,375,0.405
50p,375,0.144
40p,375,0.204
84,375,3.424
211,375,2.501
44p,375,0.604
284,375,2.392
204,375,2.325
205,375,4.121
169,375,1.67-
170,375,3.6
208,375,2.123
209,375,2.422
268,375,4.267
254,375,2.458
223,375,3.368
252,375,1.678
271,375,4.395
175,375,1.755
148,375,1.753
147,375,1.626
185,375,5.267
88,375,3.558
66,375,2.64
73,375,2.338
67,375,1.981
70,375,4.526
203,375,3.737
198,375,5.869
200,375,3.707
202,375,3.35
235,375,2.407
201,375,3.195
174,375,0.276
139,375,0.905
262,375,1.679
256,375,2.42
217,375,3.552
245,375,3.549
249,375,3.197
248,375,1.025
244,375,1.766
251,375,1.765
250,375,2.961
207,375,3.834
199,380,1.856
233,380,4.319
234,380,1.763
196,380,1.594
285,380,3.922
246,380,3.112
278,380,2.902
257,380,2.728
270,380,3.376
178,380,6.695
29p,380,0.05
97,380,2.52
145,380,1.113
18p,380,0.107
28p,380,0.244
99,380,4.523
134,380,3.028
135,380,3.036
188,380,4.229
136,380,2.824
138,380,3.738
137,380,4.373
100,380,2.003
176,380,1.06
150,380,3.756
98,380,2.103
165,380,2.762
154,380,1.43
102,380,1.419
20p,380,0.171
19p,380,0.141
33p,380,0.385
23p,380,0.274
179,380,1.669
21p,380,0.869
22p,380,0.19
120,380,6.814
121,380,4.158
114,380,3.627
113,380,4.614
112,380,3.03
158,380,2.87
115,380,2.978
27p,380,0.144
25p,380,0.937
26p,380,0.108
32p,380,0.047
124,382,1.669
136,382,1.723
152,382,3.41
153,382,2.158
125,382,2.898
118,382,5.125
116,382,7.26
110,382,3.415
108,382,4.098
149,382,2.33
106,382,2.799
24p,382,0.146
151,382,1.983
105,382,4.293
107,382,3.057
142,382,0.805
160,382,3.045
122,382,2.113
156,382,1.616
182,382,4.464
123,382,1.986
180,382,6.507
101,382,4.195
103,382,2.069
104,382,4.117
111,382,3
155,382,3.116
247,382,5.728
191,382,2.082
272,382,5.416
277,382,4.04
218,382,1.175
43p,382,0.451
225,382,1.751
215,382,3.25
212,382,1.997
41p,382,0.332
42p,382,0.095
213,382,1.548
283,382,1.97
192,382,3.036
193,382,2.695
287,382,3.142
195,382,3.183
197,382,7.206
221,382,2.931
222,382,5.154
229,382,3.724
260,382,1.932
259,382,2.36
261,382,1.861
255,382,4.203
275,382,1.83
