Pot ID,Date,Bag ID,NS,EW,Depth,Westerly/Easterly,Parasite ID
kn36,298,1,N,E,1,1,
cn8,298,2,N,E,1,1,
pn9,298,3,N,E,1,1,
kn29,298,4,N,E,1,1,
cn22,298,5,N,E,1,1,
cn36,298,6,N,E,1,1,
cn13,298,7,N,E,1,1,
nn16,298,8,N,E,2,1,
kn1,298,9,N,E,2,1,
pn18,298,10,N,E,2,1,
nn4,298,11,N,E,2,1,
kn6,298,12,N,E,2,1,
kn33,298,13,N,E,2,1,
cn31,298,14,N,E,2,1,
cn15,298,15,N,E,2,1,
cn27,298,16,N,E,2,1,
cn19,298,17,N,E,3,1,
nn25,298,18,N,E,3,1,
pn34,298,19,N,E,3,1,
kn10,298,20,N,E,3,1,
cn37,298,21,N,E,3,1,
pn32,298,22,N,E,3,1,
kn38,298,23,N,E,3,1,
cn7,298,24,N,E,3,1,
pn22,298,26,N,E,1,2,
nn13,298,27,N,E,1,2,
nn35,298,28,N,E,1,2,
cn34,298,29,N,E,1,2,
pn15,298,30,N,E,1,2,
cn29,298,31,N,E,1,2,
kn31,298,32,N,E,1,2,
kn11,298,33,N,E,1,2,
cc3,298,34,N,E,2,2,
kc13,298,35,N,E,2,2,
cc6,298,36,N,E,2,2,
pc39,298,37,N,E,2,2,
kc3,298,38,N,E,2,2,
pc6,298,39,N,E,2,2,
pc27,298,40,N,E,2,2,
kc9,298,41,N,E,2,2,
nc14,298,42,N,E,2,2,
nc12,298,43,N,E,3,2,
nc18,298,44,N,E,3,2,
kc29,298,45,N,E,3,2,
kc11,298,46,N,E,3,2,
kc37,298,47,N,E,3,2,
nc40,298,48,N,E,3,2,
kc40,298,49,N,E,3,2,
kc14,298,50,N,E,3,2,
cc1,298,51,N,E,3,2,
cn1,298,52,N,E,1,3,
nn26,298,53,N,E,1,3,
kn12,298,54,N,E,1,3,
cn26,298,55,N,E,1,3,
nn17,298,56,N,E,1,3,
nn12,298,57,N,E,1,3,
kn9,298,58,N,E,1,3,
kn7,298,59,N,E,1,3,
cc16,298,60,N,E,2,3,
kc26,298,61,N,E,2,3,
cc21,298,62,N,E,2,3,
pc13,298,63,N,E,2,3,
cc34,298,64,N,E,2,3,
pc30,298,65,N,E,2,3,
cc15,298,66,N,E,3,3,
nc28,298,67,N,E,3,3,
nc27,298,68,N,E,3,3,
nc23,298,69,N,E,3,3,
nc39,298,70,N,E,3,3,
nc2,298,71,N,E,3,3,
cc28,298,72,N,E,3,3,
kc19,298,73,N,E,3,3,
kc30,298,74,N,E,3,3,
kn4,298,75,N,E,1,4,
kn21,298,76,N,E,1,4,
cn28,298,77,N,E,1,4,
pn24,298,78,N,E,1,4,
pn31,298,79,N,E,1,4,
nn15,298,80,N,E,1,4,
pn8,298,81,N,E,1,4,
nn8,298,82,N,E,1,4,
pn38,298,83,N,E,2,4,
kn20,298,84,N,E,2,4,
cn16,298,85,N,E,2,4,
kn5,298,86,N,E,2,4,
nn11,298,87,N,E,2,4,
nn40,298,88,N,E,2,4,
nn31,298,89,N,E,3,4,
cn33,298,90,N,E,3,4,
nn22,298,91,N,E,3,4,
nn27,298,92,N,E,3,4,
kn25,298,93,N,E,3,4,
pn2,298,94,N,E,3,4,
nn29,298,95,N,E,3,4,
pn14,298,96,N,E,3,4,
kn30,298,97,S,E,1,1,
pn5,298,98,S,E,1,1,
nn32,298,99,S,E,1,1,
cn12,298,100,S,E,1,1,
kn24,298,101,S,E,1,1,
cn14,298,102,S,E,1,1,
cn23,298,103,S,E,1,1,
pn17,298,104,S,E,2,1,
pn20,298,105,S,E,2,1,
nn3,298,106,S,E,2,1,
cn5,298,107,S,E,2,1,
pn1,298,108,S,E,2,1,
pn27,298,110,S,E,2,1,
cn2,298,111,S,E,2,1,
cn9,298,112,S,E,2,1,
nn19,298,113,S,E,3,1,
kn40,298,114,S,E,3,1,
kn14,298,115,S,E,3,1,
nn21,298,116,S,E,3,1,
cn4,298,117,S,E,3,1,
kn17,298,118,S,E,3,1,
cn39,298,119,S,E,3,1,
kn37,298,120,S,E,3,1,
nn6,298,121,S,E,3,1,
