ID,focalSpecies,companionSpecies,interactionType
KN1,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN2,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN3,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN4,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN5,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN6,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN7,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN8,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN9,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN10,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN11,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN12,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN13,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN14,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN15,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN16,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN17,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN18,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN19,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN20,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN21,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN22,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN23,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN24,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN25,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN26,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN27,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN28,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN29,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN30,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN31,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN32,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN33,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN34,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN35,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN36,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN37,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN38,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN39,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KN40,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC1,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC2,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC3,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC4,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC5,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC6,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC7,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC8,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC9,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC10,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC11,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC12,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC13,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC14,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC15,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC16,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC17,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC18,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC19,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC20,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC21,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC22,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC23,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC24,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC25,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC26,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC27,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC28,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC29,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC30,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC31,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC32,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC33,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC34,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC35,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC36,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC37,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC38,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC39,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
KC40,Chamaecrista fasciculata,Koeleria macrantha,interspecific competition
CN1,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN2,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN3,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN4,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN5,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN6,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN7,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN8,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN9,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN10,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN11,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN12,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN13,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN14,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN15,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN16,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN17,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN18,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN19,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN20,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN21,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN22,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN23,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN24,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN25,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN26,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
CN27,Chamaecrista fasciculata,Chamaecrista fasciculata,intraspecific competition
